Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Other Positions,Height,Market Value
,Sebastian Valdes,Right Winger,"Nov 14, 1985 ",38,"['Argentina', 'Spain']",Argentina,Buenos Aires,AM   LW,"1,77",-
7,Marcelo Bergese,Right Winger,"Apr 30, 1985 ",38,['Argentina'],Argentina,Pasco,LW   SS,"1,76",-
,Juan Manuel Martínez,Right Winger,"Oct 25, 1985 ",38,"['Argentina', 'Portugal']",Argentina,Viedma,LW   SS,"1,77",-
,Facundo Castillón,Right Winger,"Aug 21, 1985 ",38,['Argentina'],Argentina,Rosario,LW   SS,"1,73",-
,Sebastián Ereros,Right Winger,"Apr 19, 1985 ",38,['Argentina'],Argentina,Caseros,CF,"1,68",-
,Pablo Barrientos,Right Winger,"Jan 17, 1985 ",39,"['Argentina', 'Chile']",Argentina,Comodoro Rivadavia,LW   AM,"1,76",-
11,Gastón Lezcano,Right Winger,"Nov 21, 1986 ",37,['Argentina'],Argentina,San Nicolás,LW,"1,68",€350k
,Cristian Criniti,Right Winger,"Oct 20, 1986 ",37,"['Argentina', 'Italy']",Argentina,Rosario,LW   AM,"1,72",-
,Marcos Ovejero,Right Winger,"Nov 23, 1986 ",37,"['Bolivia', 'Argentina']",Argentina,La Plata,CF   LW,"1,70",-
,Diego Galeano,Right Winger,"Feb 24, 1986 ",38,['Argentina'],Argentina,Mar del Plata,,"1,66",-
7,Maximiliano Núñez,Right Winger,"Sep 17, 1986 ",37,['Argentina'],Argentina,Burzaco,LM   RM,"1,69",€75k
,Leandro Guaita,Right Winger,"May 19, 1986 ",37,"['Argentina', 'Italy']",Argentina,La Plata,RM   SS,"1,70",-
,Ernesto Garín,Right Winger,"Jan 8, 1986 ",38,['Argentina'],Argentina,Godoy Cruz,,"1,73",-
,Mauricio Sperduti,Right Winger,"Feb 16, 1986 ",38,"['Argentina', 'Italy']",Argentina,Rosario,CF   RM,"1,80",-
10,Lionel Messi,Right Winger,"Jun 24, 1987 ",36,"['Argentina', 'Spain']",Argentina,Rosario,CF   SS,"1,70",€35.00m
,Alejandro González,Right Winger,"Nov 24, 1987 ",36,['Argentina'],Argentina,Lujan,,"1,77",-
,Pablo Vercellino,Right Winger,"Apr 18, 1987 ",36,['Argentina'],Argentina,Concordia,,,-
,Federico Comini,Right Winger,"Jan 26, 1987 ",37,"['Argentina', 'Italy']",Argentina,Berrotarán Cordoba,RM,"1,71",-
,Fede,Right Winger,"Apr 9, 1987 ",36,"['Argentina', 'Spain']",Argentina,Avellaneda,AM   CF,"1,81",-
,Fabián Bordagaray,Right Winger,"Feb 15, 1987 ",37,['Argentina'],Argentina,Avellaneda,CF,"1,73",€50k
15,Ramiro Lago,Right Winger,"Oct 14, 1987 ",36,"['Argentina', 'Italy']",Argentina,Rosario,SS   CF,"1,73",-
,Román Strada,Right Winger,"Aug 16, 1987 ",36,['Argentina'],Argentina,Monte Buey,,"1,80",-
,Leandro Ledesma,Right Winger,"Mar 15, 1987 ",37,['Argentina'],Argentina,Santa Fé,,"1,75",-
,Gonzalo Abán,Right Winger,"Jun 11, 1987 ",36,['Argentina'],Argentina,Rincón,CF   RM,"1,79",-
11,Ángel Di María,Right Winger,"Feb 14, 1988 ",36,"['Argentina', 'Italy']",Argentina,Rosario,LW   AM,"1,78",€4.00m
12,Ciro Rius,Right Winger,"Oct 27, 1988 ",35,['Argentina'],Argentina,Rosario,LW   SS,"1,71",€175k
,Maximiliano Gómez,Right Winger,"Jan 3, 1988 ",36,"['Argentina', 'Bolivia']",Argentina,Rosario,AM   RM,"1,80",€75k
,Matías Sproat,Right Winger,"Mar 10, 1988 ",36,['Argentina'],Argentina,La Plata,LW   RM,"1,80",-
,Alejandro Bordonaro,Right Winger,"Apr 20, 1988 ",35,['Argentina'],Argentina,Córdoba,,"1,84",-
,Nicolás Ramírez,Right Winger,"Feb 18, 1988 ",36,['Argentina'],Argentina,Buenos Aires,LW,"1,73",-
33,Emanuel Dening,Right Winger,"Dec 14, 1988 ",35,['Argentina'],Argentina,Goya,CF   LW,"1,73",€225k
,Emmanuel Ledesma,Right Winger,"May 24, 1988 ",35,"['Argentina', 'Italy']",Argentina,Quilmes,CF   LW,"1,80",€100k
,Martín Giménez,Right Winger,"Sep 30, 1988 ",35,['Argentina'],Argentina,Florida,,"1,87",-
7,Marcos Litre,Right Winger,"Sep 14, 1988 ",35,['Argentina'],Argentina,Pigué,LW,"1,80",-
,Gino Clara,Right Winger,"May 26, 1988 ",35,"['Argentina', 'Italy']",Argentina,Buenos Aires,,"1,70",-
7,Lucas Mancinelli,Right Winger,"Jul 6, 1989 ",34,['Argentina'],Argentina,La Plata,LW   CF,"1,68",€350k
,Leonardo Acosta,Right Winger,"Apr 17, 1989 ",34,['Argentina'],Argentina,Paraná,CF,,-
,Matías Grandis,Right Winger,"Sep 15, 1989 ",34,['Argentina'],Argentina,Oliva Córdoba,CF,"1,80",-
